line,gene,is_ATP_gene
Line 7,emrb,False
Line 7,endonuclease/exonuclease/phosphatase family protein,False
Line 7,entb,True
Line 7,entf,True
Line 7,exox,False
Line 7,fad-binding protein,False
Line 7,fcl,False
Line 7,fecb,False
Line 7,fepa,False
Line 7,fepd,False
Line 7,fhub,False
Line 7,fimbrial biogenesis outer membrane usher protein,False
Line 7,fimbrial biogenesis usher protein,False
Line 7,fimbrial biogenesis usher protein,False
Line 7,fimbrial protein,False
Line 7,fimh,False
Line 7,fkpb,False
Line 7,flgj,False
Line 7,fola,False
Line 7,frma,False
Line 7,fuci,False
Line 7,fuci,False
Line 7,gadx,False
Line 7,galt,False
Line 7,gfo/idh/moca family oxidoreductase,False
Line 7,glpk,True
Line 7,glutathione-dependent formaldehyde dehydrogenase,False
Line 7,glxk,True
Line 7,gntp family transporter,False
Line 7,gntr family transcriptional regulator,False
Line 7,gpma,False
Line 7,gsic,False
Line 7,gsic,False
Line 7,guad,False
Line 7,hcp,False
Line 7,hisq,False
Line 7,hoke,False
Line 7,hsca,True
Line 7,htpg,False
Line 7,hyfa,False
Line 7,hyfr,False
Line 7,hypothetical protein,False
Line 7,hypothetical protein,False
Line 7,hypothetical protein,False
Line 7,hypothetical protein,False
Line 7,hypothetical protein,False
Line 7,hypothetical protein,False
Line 7,iap,False
Line 7,kef family k(+) transporter,False
Line 7,kgtp,False
Line 7,ldha,False
Line 7,ldtd,False
Line 7,lepa,False
Line 7,leus,True
Line 7,lgod,False
Line 7,lysb family phage lysis regulatory protein,False
Line 7,malz,False
Line 7,mannitol dehydrogenase family protein,False
Line 7,matp,False
Line 7,mdtf,False
Line 7,meti,False
Line 7,metn,False
Line 7,mfs transporter,False
Line 7,mfs transporter,False
Line 7,miab,False
Line 7,minc,False
Line 7,mltd,False
Line 7,mnts,False
Line 7,moae,False
Line 7,modb,False
Line 7,modf,False
Line 7,moea,False
Line 7,molecular chaperone,False
Line 7,msck,False
Line 7,multidrug efflux rnd transporter permease subunit,False
Line 7,multidrug efflux rnd transporter permease subunit,False
Line 7,multidrug efflux rnd transporter permease subunit,False
Line 7,nad(p)-dependent oxidoreductase,False
Line 7,nade,True
Line 7,naga,False
Line 7,naga,False
Line 7,nagc,False
Line 7,nagd,False
Line 7,nage,False
Line 7,nage,False
Line 7,nank,True
Line 7,neutral zinc metallopeptidase,False
Line 7,nitrate reductase subunit alpha,False
Line 7,odhb,False
Line 7,odhb,False
Line 7,opge,False
Line 7,paoc,False
Line 7,parc,False
Line 7,pcnb,False
Line 7,pdef,False
Line 7,pdxj,False
Line 7,pepn,False
Line 7,pflb,False
Line 7,phage holin family protein,False
Line 7,phage major tail tube protein,False
Line 7,phage portal protein,False
Line 7,phage tail protein,False
Line 7,phage tail protein,False
Line 7,phnm,False
Line 7,phoh family protein,False
Line 7,pote,False
Line 7,pqib,False
Line 7,prc,False
Line 7,prc,False
